id,director_id,genre,prob
1,34906,Drama,0.5
2,72184,Crime,0.00358423
3,87158,Documentary,0.666667
4,6187,Drama,1
5,45135,Comedy,1
6,25989,Family,0.0181818
7,24811,Action,1
8,83205,Adventure,0.5
9,67538,Drama,1
10,18327,Crime,0.0625
11,21562,Documentary,1
12,58806,Short,0.333333
13,30661,Drama,1
14,37913,Short,1
15,63625,Drama,0.457143
16,73522,Comedy,1
17,83280,Short,1
18,63602,Musical,0.5
19,62976,Adventure,0.333333
20,46645,Drama,1
21,17810,Fantasy,0.166667
22,33668,Short,1
23,28155,Comedy,0.625
24,21839,Drama,0.8
25,37581,Short,1
26,17926,Drama,0.5
27,11507,Comedy,0.181818
28,29423,Short,1
29,53623,Horror,0.28125
30,59048,Drama,1
31,20933,Short,1
32,46313,Drama,0.5
33,36861,Animation,1
34,36386,Thriller,0.0769231
35,6930,Comedy,1
36,16580,Adult,1
37,83522,Drama,0.333333
38,70510,Action,0.285714
39,67788,Western,0.666667
40,38874,Documentary,0.2
41,5341,Comedy,1
42,44708,Documentary,0.5
43,68624,Short,1
44,44474,Sci-Fi,1
45,40463,Documentary,1
46,83672,Comedy,1
47,73387,Adventure,1
48,31244,War,0.5
49,81917,Documentary,1
50,15989,Documentary,1
51,9470,Animation,1
52,36510,Adventure,0.0909091
53,15889,Fantasy,0.333333
54,5009,Comedy,0.166667
55,63184,Thriller,0.6
56,66210,Drama,1
57,60134,Short,0.833333
58,53198,Documentary,0.4
59,20234,Documentary,1
60,74189,Romance,1
61,77964,Adventure,0.166667
62,24329,Family,0.25
63,62447,Comedy,1
64,80363,Short,1
65,8123,Adventure,0.111111
66,41072,Drama,1
67,38909,Short,0.166667
68,67354,Horror,1
69,48953,Action,1
70,11744,Action,0.333333
71,71541,Short,1
72,58864,Horror,1
73,41222,Comedy,0.270833
74,36218,Action,0.333333
75,36827,Drama,0.0625
76,14893,Fantasy,0.2
77,15728,Documentary,0.2
78,48692,Documentary,0.5
79,60194,Comedy,1
80,79102,Mystery,0.166667
81,42660,Music,0.333333
82,5343,Thriller,1
83,56850,Documentary,0.09375
84,19420,Family,0.5
85,87174,Drama,0.764706
86,52897,Adventure,0.0869565
87,19973,Documentary,1
88,72265,Comedy,0.5
89,86663,Romance,1
90,64964,Sci-Fi,0.5
91,43546,Comedy,0.333333
92,76711,Short,1
93,3268,Crime,0.333333
94,33317,Drama,0.333333
95,64344,Action,0.888889
96,2293,Short,0.166667
97,35257,Short,1
98,38415,Music,0.0283688
99,86842,Drama,1
100,76178,Comedy,0.157895
101,16020,Adventure,0.0909091
102,41475,Drama,0.5
103,56701,Musical,0.5
104,39502,Short,1
105,6862,Sci-Fi,0.0454545
106,50801,Adult,1
107,39963,Horror,1
108,55486,Short,1
109,23652,Romance,0.5
110,27410,Crime,0.5
111,39317,Family,0.2
112,8234,Documentary,1
113,86565,Documentary,1
114,81933,Drama,1
115,16005,Drama,0.916667
116,68347,Fantasy,1
117,15728,Action,0.02
118,34205,Animation,1
119,59198,Comedy,1
120,3602,Drama,0.5
121,57846,Documentary,1
122,56850,Action,0.46875
123,19070,Horror,1
124,51040,Comedy,0.32
125,21989,Comedy,0.375
126,23984,Romance,0.0769231
127,60192,Horror,1
128,20250,Drama,1
129,61372,Drama,0.933333
130,41490,Adventure,1
131,39636,Romance,0.545455
132,11908,Horror,0.2
133,72600,Romance,0.277778
134,6671,Thriller,0.2
135,76987,Animation,1
136,12443,Short,1
137,12242,Comedy,0.2
138,34480,Musical,0.0285714
139,37905,Sci-Fi,0.00952381
140,33794,Fantasy,1
141,51609,Documentary,1
142,49320,Short,1
143,73443,Drama,0.5
144,40479,Drama,1
145,61723,Short,1
146,66611,Crime,0.333333
147,6202,Adventure,0.25
148,32842,Music,0.5
149,53032,Comedy,1
150,11576,Horror,0.047619
